"lapse","polholder_age","polholder_BMCevol","polholder_diffdriver","polholder_gender","polholder_job","policy_age","policy_caruse","policy_nbcontract","prem_final","prem_freqperyear","prem_last","prem_market","prem_pure","vehicl_age","vehicl_agepurchase","vehicl_garage","vehicl_powerkw","vehicl_region"
0,50,"stable","young drivers","Male","normal",0,"private or freelance work",1,195,"2 per year",195.01,235.24,195.01,10,7,"carport","25-50 kW","Reg6"
1,43,"down","all drivers > 24","Male","normal",1,"private or freelance work",4,733.42,"4 per year",748.39,437.46,623.53,18,18,"street","25-50 kW","Reg8"
0,44,"stable","only partner","Male","normal",7,"unknown",1,446.62,"1 per year",446.62,369.21,446.62,8,0,"carport","150 kW","Reg5"
0,25,"down","same","Male","normal",0,"private or freelance work",1,611.05,"4 per year",623.53,468.76,534.46,17,16,"street","100 kW","Reg4"
0,31,"down","same","Female","normal",1,"private or freelance work",1,227.52,"4 per year",232.16,238.23,206.38,9,8,"parking deck","100 kW","Reg10"
0,54,"stable","same","Male","medical",8,"unknown",1,231.95,"1 per year",231.95,198.19,231.95,8,0,"private garage","25-50 kW","Reg4"
0,46,"stable","same","Male","medical",2,"private or freelance work",2,511.19,"1 per year",511.2,521.1,511.2,13,9,"parking deck","100 kW","Reg4"
0,28,"stable","same","Female","medical",1,"private or freelance work",4,319.4,"4 per year",319.41,268.25,319.41,14,5,"street","25-50 kW","Reg13"
0,35,"down","all drivers > 24","Female","medical",4,"private or freelance work",1,594.87,"4 per year",607.01,389.99,551.2,4,0,"unknown","75 kW","Reg8"
0,49,"down","young drivers","Male","medical",0,"private or freelance work",2,433.32,"12 per year",442.16,500.51,412.69,17,14,"private garage","75 kW","Reg7"
0,24,"stable","same","Male","normal",0,"private or freelance work",1,934.97,"4 per year",934.99,994.33,962.1,10,10,"other","25-50 kW","Reg3"
0,46,"stable","young drivers","Female","medical",0,"private or freelance work",1,276.44,"2 per year",276.45,468.73,276.46,12,8,"underground garage","75 kW","Reg14"
0,43,"down","only partner","Female","medical",0,"private or freelance work",1,189.34,"1 per year",193.2,245.44,171.74,15,12,"carport","75 kW","Reg5"
0,28,"down","only partner","Female","normal",0,"private or freelance work",1,1420.31,"12 per year",3362.07,994.05,1057.38,13,13,"private garage","175 kW","Reg8"
0,47,"stable","only partner","Male","medical",0,"private or freelance work",1,241.48,"1 per year",241.49,348.05,253.1,18,15,"private garage","75 kW","Reg8"
0,64,"stable","same","Male","normal",2,"private or freelance work",1,268.76,"12 per year",268.78,310.27,268.78,17,3,"private garage","75 kW","Reg7"
0,32,"stable","same","Female","medical",0,"private or freelance work",1,403.94,"4 per year",403.95,321.23,415.59,11,11,"parking deck","75 kW","Reg4"
0,31,"stable","same","Female","normal",0,"private or freelance work",1,306.45,"4 per year",306.45,356.97,306.45,16,15,"private garage","75 kW","Reg3"
0,22,"down","same","Male","normal",0,"private or freelance work",1,1095.4,"4 per year",1411.85,708.95,919.09,9,7,"other","75 kW","Reg4"
1,44,"down","only partner","Male","normal",4,"private or freelance work",1,900.28,"12 per year",1261.26,736.47,768.29,13,6,"unknown","125-300 kW","Reg12"
0,65,"stable","same","Male","medical",0,"private or freelance work",1,136.13,"1 per year",136.14,187.25,125.29,13,4,"parking deck","75 kW","Reg10"
0,33,"stable","same","Male","normal",4,"private or freelance work",1,351.16,"1 per year",351.18,290.79,328.75,12,5,"unknown","175 kW","Reg11"
0,27,"down","same","Male","medical",0,"private or freelance work",1,341.62,"1 per year",348.59,339.85,298.79,11,7,"street","25-50 kW","Reg7"
0,66,"stable","only partner","Male","normal",4,"private or freelance work",1,196.7,"1 per year",196.71,184.41,174.33,18,0,"unknown","125-300 kW","Reg1"
0,38,"stable","same","Male","medical",0,"private or freelance work",1,119.62,"1 per year",119.64,192.94,124.04,11,1,"private garage","100 kW","Reg8"
0,34,"stable","only partner","Male","normal",5,"unknown",1,430.38,"1 per year",409.9,421.45,437.63,12,4,"unknown","100 kW","Reg4"
0,38,"stable","only partner","Female","normal",2,"private or freelance work",2,458.87,"4 per year",458.89,331.81,458.89,18,15,"street","25-50 kW","Reg8"
0,54,"stable","same","Male","normal",3,"private or freelance work",1,307.21,"1 per year",307.22,289.59,337.55,14,0,"unknown","125-300 kW","Reg7"
0,52,"stable","only partner","Female","medical",0,"private or freelance work",1,282.74,"4 per year",282.75,317.77,282.7,16,15,"other","75 kW","Reg1"
0,44,"stable","only partner","Male","medical",2,"private or freelance work",1,313.76,"1 per year",313.78,310.1,313.78,18,12,"private garage","75 kW","Reg8"
0,47,"down","same","Female","normal",0,"private or freelance work",1,146.69,"4 per year",149.69,153.75,129.79,8,0,"carport","100 kW","Reg13"
0,52,"down","only partner","Female","normal",1,"private or freelance work",1,277.4,"1 per year",283.06,239.94,254.76,6,3,"street","25-50 kW","Reg4"
0,43,"down","same","Female","medical",7,"unknown",1,456.21,"12 per year",465.53,281.71,407.66,17,10,"street","25-50 kW","Reg10"
0,36,"down","only partner","Male","normal",1,"private or freelance work",1,251.59,"1 per year",256.73,280.5,239.76,10,4,"private garage","75 kW","Reg5"
0,32,"down","only partner","Female","medical",1,"private or freelance work",1,520.43,"4 per year",543.06,476.78,452.55,16,15,"street","25-50 kW","Reg5"
0,34,"stable","same","Male","medical",4,"private or freelance work",1,430.84,"4 per year",410.7,417.49,430.84,16,15,"street","100 kW","Reg4"
1,49,"down","only partner","Male","normal",0,"private or freelance work",3,174.02,"4 per year",177.57,227,152.21,16,11,"street","100 kW","Reg8"
0,82,"stable","same","Male","normal",2,"private or freelance work",1,250.08,"1 per year",250.09,230.24,250.09,18,1,"underground garage","100 kW","Reg5"
0,38,"stable","same","Male","normal",10,"private or freelance work",1,170.94,"1 per year",170.95,188.9,192.63,6,6,"private garage","75 kW","Reg3"
0,39,"down","only partner","Female","normal",1,"private or freelance work",2,305.98,"4 per year",312.22,326.86,244.27,11,8,"carport","175 kW","Reg7"
0,43,"down","young drivers","Female","medical",0,"private or freelance work",2,229.3,"1 per year",233.97,251.66,226.9,13,10,"private garage","25-50 kW","Reg13"
0,45,"down","only partner","Male","medical",2,"private or freelance work",2,207.25,"1 per year",211.47,175.76,176.28,9,0,"carport","25-50 kW","Reg12"
0,60,"stable","all drivers > 24","Male","medical",0,"private or freelance work",2,244.7,"4 per year",244.71,291.46,226.8,17,10,"parking deck","100 kW","Reg4"
0,44,"stable","same","Female","medical",2,"private or freelance work",1,272.53,"1 per year",272.54,280.69,280.21,15,6,"private garage","75 kW","Reg8"
0,43,"stable","same","Male","normal",0,"private or freelance work",1,210.76,"4 per year",210.77,233.9,210.77,10,2,"underground garage","25-50 kW","Reg8"
0,29,"down","same","Male","normal",0,"private or freelance work",1,732.78,"4 per year",747.74,695.36,604.31,13,12,"private garage","175 kW","Reg4"
0,47,"stable","same","Female","normal",2,"private or freelance work",1,295.87,"2 per year",295.87,243.61,295.87,2,0,"street","25-50 kW","Reg12"
0,50,"stable","only partner","Male","medical",11,"unknown",5,188.96,"1 per year",188.97,139.56,188.97,11,0,"private garage","25-50 kW","Reg8"
0,45,"down","only partner","Male","normal",1,"private or freelance work",1,402.72,"1 per year",410.94,485.49,421.04,8,0,"other","75 kW","Reg4"
0,68,"stable","same","Male","normal",6,"unknown",1,382.61,"1 per year",382.63,428.79,361.36,15,8,"private estate","75 kW","Reg2"
0,74,"up","same","Male","normal",5,"private or freelance work",1,456.81,"1 per year",304.54,392.92,407.36,15,0,"unknown","75 kW","Reg7"
0,42,"stable","only partner","Male","normal",1,"private or freelance work",2,143.5,"1 per year",143.51,206.44,143.51,15,12,"private garage","75 kW","Reg8"
1,42,"stable","young drivers","Male","normal",0,"private or freelance work",6,231.41,"2 per year",231.42,286.44,231.42,17,9,"parking deck","75 kW","Reg11"
1,50,"down","same","Male","normal",3,"private or freelance work",2,357.21,"4 per year",364.5,336.71,328.05,15,3,"street","100 kW","Reg4"
0,53,"down","only partner","Male","normal",1,"private or freelance work",3,246.37,"1 per year",251.4,271.85,225.56,12,12,"parking deck","75 kW","Reg7"
0,32,"stable","same","Male","medical",1,"private or freelance work",1,192.29,"1 per year",192.3,321.4,192.3,15,8,"other","100 kW","Reg4"
0,50,"down","same","Male","normal",10,"unknown",1,388.26,"1 per year",396.19,291.9,365.41,10,0,"private garage","75 kW","Reg10"
0,63,"stable","only partner","Male","normal",1,"private or freelance work",2,202.88,"4 per year",202.89,200.4,202.89,16,0,"private garage","75 kW","Reg8"
0,34,"stable","same","Male","medical",0,"private or freelance work",1,319.66,"4 per year",319.66,337.82,319.66,13,12,"street","125-300 kW","Reg12"
0,63,"stable","only partner","Male","medical",2,"private or freelance work",2,465.8,"1 per year",465.81,306.21,465.81,10,8,"private garage","75 kW","Reg4"
0,53,"down","all drivers > 24","Male","normal",0,"private or freelance work",2,742.36,"2 per year",862.34,746.62,662.17,12,11,"underground garage","75 kW","Reg7"
1,24,"down","same","Male","normal",0,"private or freelance work",1,662.39,"1 per year",675.91,400.42,579.35,12,11,"other","75 kW","Reg8"
0,38,"down","same","Female","medical",1,"private or freelance work",1,281.3,"1 per year",287.04,305.54,246.03,3,0,"private garage","75 kW","Reg4"
0,31,"stable","same","Male","normal",0,"private or freelance work",1,266.34,"1 per year",266.35,392.41,266.35,15,11,"private garage","150 kW","Reg5"
0,32,"down","only partner","Female","medical",2,"private or freelance work",3,241.45,"1 per year",246.38,291.61,238.61,14,4,"street","25-50 kW","Reg4"
0,65,"stable","only partner","Male","normal",5,"unknown",1,165.96,"1 per year",165.97,200.07,161.51,9,0,"unknown","125-300 kW","Reg4"
1,48,"down","same","Male","normal",2,"private or freelance work",1,600.23,"1 per year",612.48,493.69,583.31,4,0,"underground garage","100 kW","Reg8"
0,42,"stable","only partner","Female","medical",1,"private or freelance work",1,221.19,"1 per year",221.2,261.76,229.56,16,7,"street","25-50 kW","Reg9"
0,51,"stable","all drivers > 24","Male","normal",1,"private or freelance work",1,346,"2 per year",346.01,328.16,339.44,11,9,"private garage","100 kW","Reg4"
1,32,"down","only partner","Male","medical",1,"private or freelance work",1,245.87,"1 per year",250.89,246.02,219.52,14,10,"other","100 kW","Reg3"
0,40,"down","same","Female","normal",0,"private or freelance work",1,253.31,"4 per year",258.47,316.29,213.9,14,10,"street","75 kW","Reg12"
0,52,"down","only partner","Male","normal",1,"private or freelance work",1,244.78,"4 per year",249.78,236.74,218.55,13,10,"street","75 kW","Reg5"
0,36,"stable","only partner","Female","medical",8,"unknown",1,233.49,"1 per year",233.49,175.26,233.49,13,5,"street","25-50 kW","Reg14"
0,42,"stable","same","Male","normal",1,"private or freelance work",1,264.25,"1 per year",264.26,279.31,245.14,14,11,"private garage","75 kW","Reg14"
0,43,"stable","only partner","Male","medical",5,"unknown",1,196.51,"1 per year",196.53,194.83,193.02,9,4,"unknown","75 kW","Reg4"
0,51,"stable","learner 17","Male","medical",2,"private or freelance work",1,205.11,"1 per year",205.11,340.14,205.11,14,0,"carport","125-300 kW","Reg4"
1,31,"stable","only partner","Male","normal",0,"private or freelance work",1,377.84,"1 per year",377.85,349.99,388.74,9,9,"private garage","75 kW","Reg3"
0,47,"down","same","Male","medical",0,"private or freelance work",1,249.18,"4 per year",254.26,316.88,231.15,18,15,"other","125-300 kW","Reg7"
0,28,"down","same","Female","normal",3,"private or freelance work",1,349.97,"12 per year",357.11,307.12,312.46,9,7,"street","75 kW","Reg12"
0,36,"stable","same","Male","normal",6,"unknown",1,329.56,"4 per year",329.58,245.03,289.87,15,9,"street","75 kW","Reg8"
0,39,"down","same","Female","normal",2,"private or freelance work",1,330.37,"4 per year",337.11,318.7,306.47,10,7,"private garage","75 kW","Reg7"
0,60,"stable","same","Female","medical",0,"private or freelance work",6,125.28,"1 per year",125.29,170.2,125.29,13,0,"street","75 kW","Reg5"
0,25,"stable","only partner","Female","normal",0,"private or freelance work",1,601.26,"4 per year",601.27,753.14,601.27,18,18,"carport","75 kW","Reg3"
0,49,"stable","same","Female","normal",10,"unknown",1,279.89,"1 per year",279.9,246.18,274.9,12,2,"private garage","25-50 kW","Reg8"
0,55,"stable","only partner","Female","medical",8,"unknown",1,305.56,"1 per year",305.58,284.25,305.58,12,4,"street","75 kW","Reg7"
0,45,"down","same","Female","normal",1,"private or freelance work",1,320.68,"4 per year",327.22,303.07,294.5,18,13,"private garage","75 kW","Reg4"
0,51,"stable","young drivers","Male","medical",9,"unknown",7,194.43,"1 per year",194.44,199.44,190.81,9,0,"street","25-50 kW","Reg4"
1,29,"down","only partner","Female","normal",1,"private or freelance work",1,233.58,"1 per year",238.35,235.31,208.55,10,6,"private garage","100 kW","Reg3"
0,38,"down","only partner","Male","medical",2,"private or freelance work",2,549.84,"1 per year",561.06,494.56,543.71,10,8,"private garage","100 kW","Reg9"
0,44,"down","same","Female","medical",1,"private or freelance work",1,640.43,"4 per year",668.27,537.46,600.68,18,18,"other","75 kW","Reg4"
0,36,"down","only partner","Male","medical",3,"private or freelance work",1,579.25,"1 per year",591.07,404.8,506.64,14,11,"unknown","75 kW","Reg4"
0,36,"down","only partner","Male","normal",1,"private or freelance work",2,222.91,"1 per year",227.46,212.79,199.03,8,1,"private garage","75 kW","Reg10"
0,54,"down","same","Female","normal",1,"private or freelance work",1,317.76,"2 per year",324.25,302.07,294.78,7,6,"private garage","75 kW","Reg7"
0,40,"stable","same","Male","normal",0,"private or freelance work",1,328.05,"4 per year",328.06,365.88,304.41,15,14,"other","100 kW","Reg3"
0,39,"down","only partner","Male","normal",3,"private or freelance work",2,304.16,"1 per year",310.36,242.3,276.69,18,18,"unknown","25-50 kW","Reg5"
0,43,"stable","same","Male","medical",2,"private or freelance work",1,292,"1 per year",292.01,402.19,292.01,11,2,"private garage","75 kW","Reg4"
1,29,"down","all drivers > 24","Male","medical",0,"private or freelance work",1,272.56,"1 per year",278.12,291.95,259.59,8,6,"private garage","25-50 kW","Reg5"
0,39,"down","only partner","Male","normal",2,"private or freelance work",1,292.81,"1 per year",298.79,395.95,286.99,15,10,"private garage","75 kW","Reg14"
0,36,"down","only partner","Male","medical",0,"private or freelance work",1,124.7,"1 per year",127.25,187.43,111.35,18,6,"other","125-300 kW","Reg14"
0,44,"down","young drivers","Female","medical",1,"private or freelance work",2,243.08,"12 per year",248.04,172.45,212.6,15,10,"parking deck","25-50 kW","Reg10"
0,40,"stable","same","Female","normal",2,"private or freelance work",1,347.1,"1 per year",347.11,351.76,347.11,14,7,"street","25-50 kW","Reg4"
0,31,"down","same","Female","normal",0,"private or freelance work",6,558.9,"12 per year",583.2,567.51,459.17,18,18,"private garage","75 kW","Reg4"
0,44,"stable","young drivers","Female","normal",0,"private or freelance work",1,290.62,"1 per year",290.64,420.34,277.04,11,5,"carport","75 kW","Reg13"
1,29,"stable","same","Female","medical",1,"private or freelance work",1,246.05,"1 per year",246.06,326.99,246.06,13,11,"private garage","75 kW","Reg8"
0,79,"stable","same","Male","normal",0,"private or freelance work",1,205.79,"1 per year",205.8,239.26,201.92,11,0,"private garage","75 kW","Reg14"
0,34,"down","same","Female","medical",0,"private or freelance work",1,647.46,"4 per year",752.1,658.42,588.64,13,13,"other","25-50 kW","Reg5"
0,31,"stable","same","Female","medical",4,"private or freelance work",1,168.39,"1 per year",168.4,261.02,168.4,14,4,"private garage","75 kW","Reg7"
0,37,"stable","only partner","Female","medical",0,"private or freelance work",1,245,"1 per year",245.01,333.45,245.01,14,8,"private garage","100 kW","Reg10"
1,38,"down","same","Female","medical",2,"private or freelance work",1,260.23,"1 per year",265.54,215.47,238.97,12,3,"private garage","75 kW","Reg7"
0,39,"down","same","Female","normal",0,"private or freelance work",1,481.66,"4 per year",491.49,507.6,467.46,17,16,"private garage","100 kW","Reg3"
0,61,"down","young drivers","Female","medical",0,"private or freelance work",1,229.48,"1 per year",234.16,318.94,195.54,7,0,"private garage","75 kW","Reg4"
0,36,"down","only partner","Male","medical",2,"private or freelance work",1,230.1,"1 per year",234.8,291.96,208.71,13,11,"other","75 kW","Reg1"
0,37,"stable","same","Male","medical",0,"private or freelance work",1,250.85,"1 per year",250.86,261.51,205.86,16,7,"street","100 kW","Reg5"
0,35,"stable","same","Male","medical",5,"unknown",1,214.1,"1 per year",214.11,179.95,219.94,6,1,"unknown","25-50 kW","Reg3"
0,50,"stable","same","Male","normal",1,"private or freelance work",1,167.44,"4 per year",167.45,201.9,173.79,15,7,"street","100 kW","Reg3"
1,23,"down","young drivers","Female","normal",0,"private or freelance work",1,1584.49,"4 per year",1840.57,1026.05,1454.44,10,9,"private garage","75 kW","Reg8"
0,39,"down","same","Female","normal",2,"private or freelance work",1,426.99,"1 per year",435.7,352.18,399.39,10,8,"parking deck","75 kW","Reg3"
0,31,"stable","young drivers","Male","normal",2,"private or freelance work",1,306.44,"1 per year",306.45,547.58,336.73,14,7,"parking deck","125-300 kW","Reg1"
0,56,"stable","same","Male","normal",4,"private or freelance work",2,550.21,"4 per year",550.22,425.54,545,18,9,"unknown","150 kW","Reg5"
0,35,"stable","same","Male","medical",1,"private or freelance work",4,346.05,"4 per year",346.05,328.25,346.05,8,7,"private garage","175 kW","Reg6"
0,35,"stable","only partner","Female","normal",1,"private or freelance work",1,203.84,"1 per year",203.85,219.96,203.85,18,13,"other","25-50 kW","Reg8"
0,51,"stable","young drivers","Male","medical",0,"private or freelance work",1,186.06,"1 per year",186.08,259.44,189.6,10,0,"carport","100 kW","Reg4"
0,51,"stable","same","Female","normal",1,"private or freelance work",1,304.07,"1 per year",304.07,282,304.07,2,0,"parking deck","75 kW","Reg4"
0,47,"down","same","Female","medical",0,"private or freelance work",1,489.68,"2 per year",568.82,481.4,445.21,12,11,"other","25-50 kW","Reg8"
0,42,"stable","only partner","Female","medical",10,"unknown",1,232.16,"2 per year",232.18,190.3,234.14,10,0,"street","25-50 kW","Reg13"
0,35,"stable","only partner","Male","normal",2,"private or freelance work",1,276.14,"1 per year",276.15,258.79,276.15,12,1,"private garage","100 kW","Reg4"
0,25,"down","same","Male","medical",2,"private or freelance work",2,506.15,"2 per year",516.47,367.2,487.04,12,4,"other","75 kW","Reg6"
0,37,"down","same","Male","normal",1,"private or freelance work",1,336.64,"4 per year",343.51,434.77,306.14,12,11,"private garage","75 kW","Reg6"
0,58,"stable","same","Male","medical",8,"unknown",1,287.96,"1 per year",287.96,305.14,287.96,9,1,"private garage","100 kW","Reg4"
1,33,"down","same","Female","normal",1,"private or freelance work",1,305.09,"1 per year",311.31,321.96,274.25,10,0,"private garage","100 kW","Reg4"
0,37,"stable","same","Male","medical",1,"private or freelance work",1,447.05,"4 per year",447.06,469.35,418.31,14,9,"private garage","100 kW","Reg8"
0,37,"stable","same","Male","medical",0,"private or freelance work",1,470.28,"4 per year",470.29,491.21,470.29,12,12,"private garage","75 kW","Reg4"
0,39,"down","same","Male","normal",0,"private or freelance work",1,477.39,"4 per year",498.15,636.91,419.01,14,11,"private garage","75 kW","Reg2"
0,31,"down","young drivers","Male","medical",0,"private or freelance work",1,743.87,"4 per year",1042.14,744.52,646.84,9,9,"parking deck","25-50 kW","Reg3"
1,37,"down","all drivers > 24","Male","normal",2,"private or freelance work",1,336.1,"1 per year",342.96,285.99,300.1,11,8,"street","100 kW","Reg7"
0,38,"up","young drivers","Female","normal",0,"private or freelance work",1,407.59,"4 per year",285.31,455.26,407.59,15,15,"street","100 kW","Reg4"
0,38,"stable","all drivers > 24","Male","normal",0,"private or freelance work",1,161.79,"1 per year",161.8,230.23,161.8,15,1,"private garage","75 kW","Reg4"
0,30,"down","same","Female","medical",2,"private or freelance work",2,385.46,"4 per year",393.33,325.1,370.75,14,9,"other","25-50 kW","Reg7"
0,34,"stable","young drivers","Male","normal",0,"private or freelance work",1,356.3,"1 per year",356.3,506.49,356.3,16,15,"parking deck","75 kW","Reg8"
0,42,"down","same","Male","normal",1,"private or freelance work",1,345.83,"12 per year",352.89,364.89,317.6,16,12,"parking deck","75 kW","Reg4"
0,66,"stable","same","Male","normal",10,"unknown",2,197.48,"1 per year",197.49,187.04,201.2,10,0,"private garage","75 kW","Reg12"
0,51,"up","same","Male","normal",0,"private or freelance work",1,330.43,"4 per year",240.31,401.97,284.31,17,12,"street","75 kW","Reg12"
0,65,"down","all drivers > 24","Male","medical",3,"private or freelance work",1,772.82,"1 per year",1082.7,493.39,672.02,13,0,"unknown","25-50 kW","Reg14"
0,43,"down","same","Female","medical",0,"private or freelance work",1,203.56,"1 per year",207.71,236.59,183.74,12,3,"underground garage","75 kW","Reg7"
0,44,"down","young drivers","Male","medical",0,"private or freelance work",2,721.46,"4 per year",838.06,916.39,655.92,18,18,"other","75 kW","Reg4"
0,41,"down","same","Male","medical",4,"private or freelance work",1,356.36,"4 per year",363.64,278.9,327.39,13,11,"private garage","75 kW","Reg4"
0,67,"stable","only partner","Male","medical",6,"unknown",1,142.11,"4 per year",142.11,150.95,142.11,7,1,"private garage","75 kW","Reg7"
1,50,"stable","same","Male","normal",0,"private or freelance work",1,282.4,"1 per year",282.41,304.07,282.4,10,7,"underground garage","75 kW","Reg8"
0,35,"stable","same","Male","normal",0,"private or freelance work",1,300.69,"4 per year",300.7,234.77,300.7,5,0,"other","100 kW","Reg14"
0,36,"stable","only partner","Male","normal",1,"private or freelance work",2,271.19,"4 per year",271.19,350.17,271.19,11,7,"parking deck","100 kW","Reg7"
0,43,"down","only partner","Male","normal",3,"private or freelance work",1,709.75,"1 per year",724.24,675.85,675.95,13,13,"carport","100 kW","Reg3"
0,55,"down","young drivers","Male","normal",0,"private or freelance work",1,868.71,"4 per year",1009.11,996.79,789.74,14,14,"street","25-50 kW","Reg8"
0,40,"stable","only partner","Male","normal",5,"private or freelance work",1,171.1,"4 per year",171.11,124.77,166.53,6,4,"private garage","25-50 kW","Reg13"
1,37,"down","only partner","Male","normal",0,"private or freelance work",1,399.29,"1 per year",407.44,458,373.26,7,7,"underground garage","100 kW","Reg4"
0,30,"down","only partner","Female","medical",0,"private or freelance work",1,327.58,"1 per year",334.26,277.54,284.61,16,16,"other","75 kW","Reg5"
0,38,"down","only partner","Male","medical",1,"private or freelance work",1,300.05,"1 per year",306.18,255.15,267.9,14,12,"parking deck","75 kW","Reg8"
0,30,"down","same","Male","medical",0,"private or freelance work",1,171.45,"1 per year",174.95,207.16,155.51,18,11,"carport","25-50 kW","Reg1"
0,32,"down","same","Male","normal",0,"private or freelance work",1,377.63,"4 per year",385.34,409.11,359.64,8,8,"other","100 kW","Reg3"
0,32,"down","same","Male","medical",0,"private or freelance work",1,322.77,"4 per year",336.8,454.05,268.23,18,18,"private garage","75 kW","Reg11"
0,47,"down","same","Female","normal",2,"private or freelance work",1,744.11,"12 per year",759.3,460.9,626.5,17,14,"other","75 kW","Reg4"
0,34,"stable","same","Male","medical",0,"private or freelance work",3,187.1,"1 per year",187.11,335.61,188.82,13,6,"underground garage","75 kW","Reg5"
0,37,"stable","only partner","Female","medical",4,"private or freelance work",2,278.98,"1 per year",278.99,239.4,278.99,16,11,"parking deck","75 kW","Reg4"
0,40,"stable","same","Male","normal",3,"private or freelance work",1,313.94,"4 per year",313.95,287.61,305.28,16,7,"unknown","100 kW","Reg8"
0,35,"stable","same","Male","normal",2,"private or freelance work",2,301.15,"4 per year",301.16,345.66,301.16,11,10,"street","75 kW","Reg4"
0,61,"stable","all drivers > 24","Male","normal",8,"private or freelance work",1,121.88,"1 per year",121.89,180.58,121.89,15,7,"street","25-50 kW","Reg5"
0,39,"stable","only partner","Male","medical",8,"unknown",2,248.06,"1 per year",243.6,204.51,248.06,8,0,"private garage","100 kW","Reg5"
0,43,"stable","only partner","Male","normal",4,"private or freelance work",1,258.28,"1 per year",258.29,210.19,253.5,10,4,"unknown","75 kW","Reg7"
0,24,"down","same","Male","medical",0,"private or freelance work",1,623.58,"1 per year",724.36,584.4,566.95,17,17,"private garage","25-50 kW","Reg4"
0,58,"up","same","Male","normal",1,"private or freelance work",1,689.06,"4 per year",492.19,709.38,689.06,13,13,"parking deck","125-300 kW","Reg8"
0,47,"stable","only partner","Male","medical",6,"unknown",2,297.86,"1 per year",297.88,245.43,287.29,10,4,"private garage","100 kW","Reg4"
0,35,"down","same","Male","medical",1,"private or freelance work",1,498.84,"2 per year",509.03,518.1,436.3,11,8,"carport","100 kW","Reg6"
0,50,"down","young drivers","Female","medical",0,"private or freelance work",1,518.81,"1 per year",529.4,583.44,518.22,3,0,"street","75 kW","Reg12"
0,68,"stable","only partner","Male","normal",10,"unknown",1,195.74,"2 per year",195.75,195.75,197.59,16,5,"private garage","75 kW","Reg7"
0,50,"stable","same","Male","medical",1,"private or freelance work",1,193.74,"1 per year",193.75,168.65,186.76,18,3,"carport","75 kW","Reg12"
0,51,"stable","same","Male","medical",10,"unknown",1,390.92,"1 per year",380.33,345.15,390.92,18,8,"street","75 kW","Reg8"
0,80,"stable","same","Male","normal",1,"private or freelance work",1,311.75,"1 per year",311.76,318.41,311.76,15,8,"private garage","75 kW","Reg14"
0,46,"stable","same","Male","normal",9,"private or freelance work",1,260.34,"1 per year",260.35,344.71,260.35,12,3,"parking deck","125-300 kW","Reg5"
0,39,"down","only partner","Male","normal",1,"private or freelance work",2,370.15,"12 per year",377.7,293.15,346.23,13,11,"parking deck","75 kW","Reg11"
0,49,"down","young drivers","Male","normal",0,"private or freelance work",1,667.03,"12 per year",934.49,789.11,681.32,13,11,"street","75 kW","Reg7"
0,39,"stable","same","Female","medical",6,"unknown",1,469.39,"2 per year",469.4,333.35,486.59,14,7,"street","75 kW","Reg10"
0,39,"down","only partner","Female","medical",1,"private or freelance work",1,312.61,"1 per year",318.99,357.64,279.05,15,11,"street","100 kW","Reg4"
